portname;prttype;prtsize;latitude;longitude;iso3_op;top_left_lat;top_left_long;top_right_lat;top_right_long;bot_right_lat;bot_right_long;bot_left_lat;bot_left_long
Panarukan;Sea;Small;-7,6976;113,93394;IDN;-7,1976;114,43394;-8,1976;114,43394;-7,1976;113,43394;-8,1976;113,43394
Merauke;Sea;Small;-8,47877;140,39086;IDN;-7,97877;140,89086;-8,97877;140,89086;-7,97877;139,89086;-8,97877;139,89086
Kasim;Sea;Small;-1,30664;131,02837;IDN;-0,80664;131,52837;-1,80664;131,52837;-0,80664;130,52837;-1,80664;130,52837
Mamuju;Sea;Small;-2,66758;118,8942;IDN;-2,16758;119,3942;-3,16758;119,3942;-2,16758;118,3942;-3,16758;118,3942
Pantoloan;Sea;Small;-0,70932;119,85742;IDN;-0,20932;120,35742;-1,20932;120,35742;-0,20932;119,35742;-1,20932;119,35742
Balanacan;Sea;Very Small;13,5333;121,8657;PHL;14,0333;122,3657;13,0333;122,3657;14,0333;121,3657;13,0333;121,3657
Santa Cruz;Sea;Very Small;13,50508;122,04818;PHL;14,00508;122,54818;13,00508;122,54818;14,00508;121,54818;13,00508;121,54818
Borongan;Sea;Very Small;11,60648;125,43989;PHL;12,10648;125,93989;11,10648;125,93989;12,10648;124,93989;11,10648;124,93989
Aroroy;Sea;Very Small;12,51315;123,39758;PHL;13,01315;123,89758;12,01315;123,89758;13,01315;122,89758;12,01315;122,89758
Palembang;River;Small;-2,98041;104,77893;IDN;-2,48041;105,27893;-3,48041;105,27893;-2,48041;104,27893;-3,48041;104,27893
Krabi;Sea;Unknown;8,04693;98,90876;THA;8,54693;99,40876;7,54693;99,40876;8,54693;98,40876;7,54693;98,40876
Zamboanga;Sea;Small;6,90241;122,07734;PHL;7,40241;122,57734;6,40241;122,57734;7,40241;121,57734;6,40241;121,57734
Mati;Sea;Small;6,95073;126,219;PHL;7,45073;126,719;6,45073;126,719;7,45073;125,719;6,45073;125,719
Miri;Sea;Unknown;4,38349;113,97317;MYS;4,88349;114,47317;3,88349;114,47317;4,88349;113,47317;3,88349;113,47317
Bagan Luar;Sea;Unknown;5,41034;100,37337;MYS;5,91034;100,87337;4,91034;100,87337;5,91034;99,87337;4,91034;99,87337
Sandakan;Sea;Unknown;5,83815;118,11667;MYS;6,33815;118,61667;5,33815;118,61667;6,33815;117,61667;5,33815;117,61667
Jimenez;Sea;Very Small;8,33247;123,85658;PHL;8,83247;124,35658;7,83247;124,35658;8,83247;123,35658;7,83247;123,35658
Tanjong Pagar;Sea;Unknown;1,2674;103,84073;SGP;1,7674;104,34073;0,7674;104,34073;1,7674;103,34073;0,7674;103,34073
Semporna;Sea;Unknown;4,47823;118,6081;MYS;4,97823;119,1081;3,97823;119,1081;4,97823;118,1081;3,97823;118,1081
Bandar Seri Begawan;Sea;Unknown;4,87558;114,951;BRN;5,37558;115,451;4,37558;115,451;5,37558;114,451;4,37558;114,451
Port Holland;Sea;Unknown;6,54593;121,86911;PHL;7,04593;122,36911;6,04593;122,36911;7,04593;121,36911;6,04593;121,36911
Tolong;Sea;Unknown;9,36794;122,80113;PHL;9,86794;123,30113;8,86794;123,30113;9,86794;122,30113;8,86794;122,30113
Cotabato;Sea;Very Small;7,25253;124,2012;PHL;7,75253;124,7012;6,75253;124,7012;7,75253;123,7012;6,75253;123,7012
Pekalongan;Sea;Small;-6,85925;109,69192;IDN;-6,35925;110,19192;-7,35925;110,19192;-6,35925;109,19192;-7,35925;109,19192
Luwuk;Sea;Small;-0,9534;122,79624;IDN;-0,4534;123,29624;-1,4534;123,29624;-0,4534;122,29624;-1,4534;122,29624
Kalianget;Sea;Small;-7,04475;113,94658;IDN;-6,54475;114,44658;-7,54475;114,44658;-6,54475;113,44658;-7,54475;113,44658
